playlist_id,playlist_name,published_at,total_videos
PLmur3Z0Afau49M9Qhc9ljxktYH58szH87,AI Architects,2026-04-02T16:07:19.491746Z,3
PLmur3Z0Afau6EJFQNsmCd0badJOW7vN9J,The Inspiration Lab,2025-11-20T19:00:23.715012Z,3
PLmur3Z0Afau6_ebbQaBXqwocwVN7y0_6y,Well Spent,2025-11-14T23:08:40.000088Z,2
PLmur3Z0Afau728_hvIL3xdqygK6lj27Eq,War Journal,2025-11-11T22:19:17.741199Z,0
PLmur3Z0Afau6OyqRXF96t97YxY-dYfv3L,Well Spent | The Podcast,2025-10-31T20:00:43.357812Z,2
PLmur3Z0Afau7_zMrbie2ni13rcqFmt63f,Business Insider Marathons,2025-10-20T20:19:05.361915Z,11
PLmur3Z0Afau41Noq-I7zDWIZd3DhpkRpU,Business Insider Docs,2025-09-25T22:19:21.318024Z,4
PLmur3Z0Afau6QrSmAI-uaEHGaGQbiQakD,Life Lessons,2025-07-29T16:52:30.219385Z,10
PLmur3Z0Afau48RYn7BwfLVX-pUsEKhcxI,Boot Camp | Podcast,2025-05-24T10:22:38.96596Z,2
PLmur3Z0Afau46DB3QrnYICl6iE4T4lFk4,BI & Politico: The Deep Brief,2025-05-12T14:53:22.294632Z,8
PLmur3Z0Afau5JD4NnvCS3BsJXqEnBAAuQ,Business Insider Docs: Travel,2025-04-29T23:50:18.930455Z,6
PLmur3Z0Afau7HWlUGLC-7pJqh2OT2iAbk,Business Insider Docs: Wildfires,2025-04-29T23:50:03.121192Z,5
PLmur3Z0Afau5nOJZowFCxW4XRB3nm8Agu,Business Insider Docs: USA,2025-04-29T23:49:47.298871Z,9
PLmur3Z0Afau6230A-WpB9i4Q4CdO_FzSH,Business Insider Docs: Pandemic,2025-04-29T23:49:19.924315Z,8
PLmur3Z0Afau6Pi5lyICFw9KQYSi-YacON,Business Insider Docs: Health,2025-04-29T23:48:43.155838Z,4
PLmur3Z0Afau5ae_oB9Zg3wVua3XfPHUII,Business Insider Docs: War & Social Justice,2025-04-29T23:45:34.686395Z,13
PLmur3Z0Afau5IYNmvJfDtCgGpTdB4WdOd,The Limit,2025-04-08T17:49:17.922065Z,5
PLmur3Z0Afau6EvbpksB7b2UPSATfPrTOg,AI In Action,2025-03-14T15:52:12.654935Z,3
PLmur3Z0Afau6ZMk2Q66nZPIyN35KHmDpT,Documentaries,2025-02-26T14:33:41.592335Z,5
PLmur3Z0Afau5y9Xr6kW_US2o0g_JpvRkC,Food Marathons,2024-10-29T15:33:46.896922Z,25
PLmur3Z0Afau4rQXDwtpLKhGxiyJ1QHMIR,Jobs Marathons,2024-10-29T15:30:09.564263Z,27
PLmur3Z0Afau4biA4S9GfGY1Qbg-Mha1K3,View From Above,2024-10-16T15:45:09.325919Z,9
PLmur3Z0Afau4sqtru85T3J3CafcrUL7OZ,Truth Complex,2024-09-24T17:53:19.465333Z,6
PLmur3Z0Afau5LtPzAhV2dD3_LtOEk3QRP,Ultra-Processed Life,2024-09-04T22:12:51.862147Z,5
PLmur3Z0Afau65DseCN1Ya8v9fZhBoq--I,Second To None,2024-08-01T16:27:41.716794Z,5
PLmur3Z0Afau4z-CYhy9qklMynpXRFGN7p,Risky Business,2024-06-14T15:25:51.002185Z,49
PLmur3Z0Afau5pGHCowevp8hj9xTKDN30x,Business Insider Explains,2024-02-11T06:26:58.666489Z,75
PLmur3Z0Afau7CS0g6uiXVhsGd0QSKkcTs,Inside Everest,2024-02-06T23:16:54.760888Z,4
PLmur3Z0Afau4qGyZmsgb2L10t5Fwfp_vh,Big Business: TFB,2024-01-22T18:26:31.33159Z,21
PLmur3Z0Afau75F3r4GJp4mM7Foy3qU-Gr,Loadout,2024-01-11T14:41:40.453859Z,21
PLmur3Z0Afau7iDN5m0fP45j6urbTXdREG,Big Business: AB,2023-06-16T16:16:42.058265Z,3
PLmur3Z0Afau4xMQrGmNI20OUu1_jBWRIo,So Expensive Food,2022-10-12T20:54:34.66991Z,52
PLmur3Z0Afau4wSl9By0h8qIgOBbN9Zmhd,So Expensive,2022-03-28T17:14:28.665809Z,221
PLmur3Z0Afau6qBTAl-qI7HQZVCEPtU5MC,So Expensive: Season 8,2022-03-18T15:08:58.101801Z,18
PLmur3Z0Afau7dpUvROOF48MXXG0oldyZ-,True Cost,2021-09-27T21:09:58.28712Z,38
PLmur3Z0Afau7GD8hLBHYx-Eh_ZgSPaNoD,So Expensive: Season 6,2021-02-08T19:54:08.359712Z,26
PLmur3Z0Afau4j8OVNAX51WRNGY-K4npn4,So Expensive: News,2021-01-04T14:02:50.103852Z,14
PLmur3Z0Afau7p-Au2E1uYKYVPNE2b62dN,World Wide Waste,2020-12-02T21:41:48.532443Z,93
PLmur3Z0Afau6t-ab7uUZZnAtWZuLyMW9r,Still Standing,2020-11-23T14:59:24.75596Z,94
PLmur3Z0Afau5t4kKbwmCsrXUiyUoZBQ5m,Big Business,2020-06-26T19:14:12.703319Z,155
PLmur3Z0Afau7Kmtby1nSyxusZGFNrsFJi,So Expensive: Season 5,2020-04-03T14:09:27.185397Z,13
PLmur3Z0Afau5vIOiTlhqHUADN_nA4x8v8,Rise And Fall,2019-10-02T20:39:01.574465Z,49
PLmur3Z0Afau7NR6lshgBdEKS2r5Q2cJlt,So Expensive: Season 4,2019-09-26T15:24:10.325066Z,15
PLmur3Z0Afau6wCmwuKfYzjL2r4HgkRHqK,Boot Camp,2019-06-19T20:27:02.499475Z,98
PLmur3Z0Afau7NRMONmASR_vs_smvcRMNV,So Expensive : Season 3,2019-05-07T15:18:53.402691Z,15
PLmur3Z0Afau69Bc9Uo5A1IXAwCv_KsF6w,So Expensive : Season 2,2018-12-27T18:38:56.589169Z,20
PLmur3Z0Afau7SeOu09ZtFCYdCRrrBNwd-,So Expensive : Season 1,2018-12-27T18:12:21.260489Z,12
PLmur3Z0Afau45IeH50BAslQrMmwAnBBS4,"Planes, Trains & Automobiles",2018-05-15T18:00:30.301729Z,118
PLmur3Z0Afau4LxX8lA98CS_KzGgX3md11,Personal Finance,2018-05-11T19:49:26.206601Z,61
PLmur3Z0Afau4nJPHpmyx76w9vvkezWT7k,Cars Insider,2016-10-03T13:34:56.811536Z,272
PLmur3Z0Afau6sxeemZq_rj-blKcQ9EaTo,Neil deGrasse Tyson Explains...,2013-08-13T15:19:15.218088Z,17
