,playlist_id,playlist_name,total_videos,published_date,published_time
0,PLmur3Z0Afau49M9Qhc9ljxktYH58szH87,AI Architects,3,2026-04-02,16:07:19.491746
1,PLmur3Z0Afau6EJFQNsmCd0badJOW7vN9J,The Inspiration Lab,3,2025-11-20,19:00:23.715012
2,PLmur3Z0Afau6_ebbQaBXqwocwVN7y0_6y,Well Spent,2,2025-11-14,23:08:40.000088
3,PLmur3Z0Afau728_hvIL3xdqygK6lj27Eq,War Journal,0,2025-11-11,22:19:17.741199
4,PLmur3Z0Afau6OyqRXF96t97YxY-dYfv3L,Well Spent | The Podcast,2,2025-10-31,20:00:43.357812
5,PLmur3Z0Afau7_zMrbie2ni13rcqFmt63f,Business Insider Marathons,11,2025-10-20,20:19:05.361915
6,PLmur3Z0Afau41Noq-I7zDWIZd3DhpkRpU,Business Insider Docs,4,2025-09-25,22:19:21.318024
7,PLmur3Z0Afau6QrSmAI-uaEHGaGQbiQakD,Life Lessons,10,2025-07-29,16:52:30.219385
8,PLmur3Z0Afau48RYn7BwfLVX-pUsEKhcxI,Boot Camp | Podcast,2,2025-05-24,10:22:38.965960
9,PLmur3Z0Afau46DB3QrnYICl6iE4T4lFk4,BI & Politico: The Deep Brief,8,2025-05-12,14:53:22.294632
10,PLmur3Z0Afau5JD4NnvCS3BsJXqEnBAAuQ,Business Insider Docs: Travel,6,2025-04-29,23:50:18.930455
11,PLmur3Z0Afau7HWlUGLC-7pJqh2OT2iAbk,Business Insider Docs: Wildfires,5,2025-04-29,23:50:03.121192
12,PLmur3Z0Afau5nOJZowFCxW4XRB3nm8Agu,Business Insider Docs: USA,9,2025-04-29,23:49:47.298871
13,PLmur3Z0Afau6230A-WpB9i4Q4CdO_FzSH,Business Insider Docs: Pandemic,8,2025-04-29,23:49:19.924315
14,PLmur3Z0Afau6Pi5lyICFw9KQYSi-YacON,Business Insider Docs: Health,4,2025-04-29,23:48:43.155838
15,PLmur3Z0Afau5ae_oB9Zg3wVua3XfPHUII,Business Insider Docs: War & Social Justice,13,2025-04-29,23:45:34.686395
16,PLmur3Z0Afau5IYNmvJfDtCgGpTdB4WdOd,The Limit,5,2025-04-08,17:49:17.922065
17,PLmur3Z0Afau6EvbpksB7b2UPSATfPrTOg,AI In Action,3,2025-03-14,15:52:12.654935
18,PLmur3Z0Afau6ZMk2Q66nZPIyN35KHmDpT,Documentaries,5,2025-02-26,14:33:41.592335
19,PLmur3Z0Afau5y9Xr6kW_US2o0g_JpvRkC,Food Marathons,25,2024-10-29,15:33:46.896922
20,PLmur3Z0Afau4rQXDwtpLKhGxiyJ1QHMIR,Jobs Marathons,27,2024-10-29,15:30:09.564263
21,PLmur3Z0Afau4biA4S9GfGY1Qbg-Mha1K3,View From Above,9,2024-10-16,15:45:09.325919
22,PLmur3Z0Afau4sqtru85T3J3CafcrUL7OZ,Truth Complex,6,2024-09-24,17:53:19.465333
23,PLmur3Z0Afau5LtPzAhV2dD3_LtOEk3QRP,Ultra-Processed Life,5,2024-09-04,22:12:51.862147
24,PLmur3Z0Afau65DseCN1Ya8v9fZhBoq--I,Second To None,5,2024-08-01,16:27:41.716794
25,PLmur3Z0Afau4z-CYhy9qklMynpXRFGN7p,Risky Business,49,2024-06-14,15:25:51.002185
26,PLmur3Z0Afau5pGHCowevp8hj9xTKDN30x,Business Insider Explains,75,2024-02-11,06:26:58.666489
27,PLmur3Z0Afau7CS0g6uiXVhsGd0QSKkcTs,Inside Everest,4,2024-02-06,23:16:54.760888
28,PLmur3Z0Afau4qGyZmsgb2L10t5Fwfp_vh,Big Business: TFB,21,2024-01-22,18:26:31.331590
29,PLmur3Z0Afau75F3r4GJp4mM7Foy3qU-Gr,Loadout,21,2024-01-11,14:41:40.453859
30,PLmur3Z0Afau7iDN5m0fP45j6urbTXdREG,Big Business: AB,3,2023-06-16,16:16:42.058265
31,PLmur3Z0Afau4xMQrGmNI20OUu1_jBWRIo,So Expensive Food,52,2022-10-12,20:54:34.669910
32,PLmur3Z0Afau4wSl9By0h8qIgOBbN9Zmhd,So Expensive,221,2022-03-28,17:14:28.665809
33,PLmur3Z0Afau6qBTAl-qI7HQZVCEPtU5MC,So Expensive: Season 8,18,2022-03-18,15:08:58.101801
34,PLmur3Z0Afau7dpUvROOF48MXXG0oldyZ-,True Cost,38,2021-09-27,21:09:58.287120
35,PLmur3Z0Afau7GD8hLBHYx-Eh_ZgSPaNoD,So Expensive: Season 6,26,2021-02-08,19:54:08.359712
36,PLmur3Z0Afau4j8OVNAX51WRNGY-K4npn4,So Expensive: News,14,2021-01-04,14:02:50.103852
37,PLmur3Z0Afau7p-Au2E1uYKYVPNE2b62dN,World Wide Waste,93,2020-12-02,21:41:48.532443
38,PLmur3Z0Afau6t-ab7uUZZnAtWZuLyMW9r,Still Standing,94,2020-11-23,14:59:24.755960
39,PLmur3Z0Afau5t4kKbwmCsrXUiyUoZBQ5m,Big Business,155,2020-06-26,19:14:12.703319
40,PLmur3Z0Afau7Kmtby1nSyxusZGFNrsFJi,So Expensive: Season 5,13,2020-04-03,14:09:27.185397
