transaction_id,transaction_date,store_code,account_number,amount_local,currency,document_number,description
1,2025-03-12,SE001,4000,-7149.34,NOK,DOC-2025-000001,Cost of Goods Sold - Recently thought month.
2,2025-09-24,SE001,4000,-6023.02,NOK,DOC-2025-000002,Cost of Goods Sold - Per send.
3,2026-05-23,SE001,5200,-6945.75,NOK,DOC-2026-000003,Marketing Expense - Meeting woman already.
4,2026-09-30,NO001,5200,-8364.08,NOK,DOC-2026-000004,Marketing Expense - Rock American story.
5,2025-06-23,NO002,4000,-6059.68,NOK,DOC-2025-000005,Cost of Goods Sold - Teacher learn.
6,2026-04-06,NO003,3000,10433.85,NOK,DOC-2026-000006,Product Sales - Area current.
7,2025-06-03,NO002,5200,-2129.26,NOK,DOC-2025-000007,Marketing Expense - Other drug thus.
8,2025-02-10,NO001,7000,-1910.74,NOK,DOC-2025-000008,Interest Expense - Appear hear dog yourself.
9,2025-12-24,EC_NO,3000,1141.0,NOK,DOC-2025-000009,Product Sales - Follow nice hope.
10,2025-12-01,NO003,5000,-6067.93,NOK,DOC-2025-000010,Salaries & Wages - Night cover.
11,2025-01-17,EC_SE,5100,-4868.36,NOK,DOC-2025-000011,Rent Expense - Choose.
12,2025-12-25,EC_NO,7000,-1583.26,NOK,DOC-2025-000012,Interest Expense - Individual.
13,2025-07-18,SE001,7000,-7288.89,NOK,DOC-2025-000013,Interest Expense - Bad impact when decision.
14,2025-10-03,EC_SE,5200,-6927.76,NOK,DOC-2025-000014,Marketing Expense - Power machine century.
15,2026-11-16,EC_SE,5100,-1102.54,NOK,DOC-2026-000015,Rent Expense - Forward sell.
16,2025-10-02,NO003,7000,-4921.37,NOK,DOC-2025-000016,Interest Expense - Discover hand show type.
17,2026-01-09,EC_NO,5100,-1121.06,NOK,DOC-2026-000017,Rent Expense - History avoid.
18,2026-11-24,NO003,7000,-8080.48,NOK,DOC-2026-000018,Interest Expense - Court would.
19,2026-11-18,SE001,3000,8545.09,NOK,DOC-2026-000019,Product Sales - Your discuss candidate.
20,2026-12-13,SE001,5100,-4514.55,NOK,DOC-2026-000020,Rent Expense - Work leave.
21,2025-02-08,SE001,4000,-5153.75,NOK,DOC-2025-000021,Cost of Goods Sold - Information community her.
22,2025-03-09,NO002,5200,-4060.48,NOK,DOC-2025-000022,Marketing Expense - Argue lay.
23,2026-04-09,NO001,5000,-7771.12,NOK,DOC-2026-000023,Salaries & Wages - Court.
24,2026-07-16,NO001,5100,-1469.0,NOK,DOC-2026-000024,Rent Expense - Baby front.
25,2026-10-14,EC_SE,7000,-579.92,NOK,DOC-2026-000025,Interest Expense - Sometimes attorney.
26,2025-06-23,EC_NO,5200,-8492.05,NOK,DOC-2025-000026,Marketing Expense - Laugh beautiful.
27,2025-11-22,NO002,4000,-5197.8,NOK,DOC-2025-000027,Cost of Goods Sold - Matter environmental.
28,2026-12-26,NO002,7000,-3391.13,NOK,DOC-2026-000028,Interest Expense - Card institution one several.
29,2026-02-13,SE002,5100,-1122.42,NOK,DOC-2026-000029,Rent Expense - We ask during.
30,2026-06-26,EC_NO,5000,-5157.21,NOK,DOC-2026-000030,Salaries & Wages - Agree.
31,2025-04-25,NO001,3000,4463.38,NOK,DOC-2025-000031,Product Sales - At reach from.
32,2026-11-23,NO001,5100,-4900.7,NOK,DOC-2026-000032,Rent Expense - Some myself property.
33,2025-05-14,SE001,5200,-6032.12,NOK,DOC-2025-000033,Marketing Expense - Keep enough later.
34,2025-05-16,NO002,5100,-3875.52,NOK,DOC-2025-000034,Rent Expense - It.
35,2026-04-21,SE001,5100,-1329.13,NOK,DOC-2026-000035,Rent Expense - Wonder cup catch.
36,2026-01-12,NO001,7000,-5786.56,NOK,DOC-2026-000036,Interest Expense - Enjoy campaign anything.
37,2026-07-09,NO001,7000,-5046.38,NOK,DOC-2026-000037,Interest Expense - Toward worry discover.
38,2025-04-09,EC_SE,4000,-7837.64,NOK,DOC-2025-000038,Cost of Goods Sold - She hot find.
39,2025-08-13,EC_SE,7000,-2018.21,NOK,DOC-2025-000039,Interest Expense - South similar.
40,2025-12-04,SE002,5200,-8562.3,NOK,DOC-2025-000040,Marketing Expense - Sell drive skin.
41,2025-09-19,NO002,3000,9726.52,NOK,DOC-2025-000041,Product Sales - Voice.
42,2026-06-14,SE001,3000,8993.0,NOK,DOC-2026-000042,Product Sales - Seven position main.
43,2025-07-11,SE001,5200,-3726.8,NOK,DOC-2025-000043,Marketing Expense - Suffer debate majority.
44,2025-10-11,NO003,5000,-1064.94,NOK,DOC-2025-000044,Salaries & Wages - Then sport.
45,2026-04-27,EC_SE,5100,-1074.92,NOK,DOC-2026-000045,Rent Expense - Gas law military.
46,2025-01-03,SE001,5200,-1156.73,NOK,DOC-2025-000046,Marketing Expense - Exist could.
47,2025-07-25,NO002,5200,-1998.04,NOK,DOC-2025-000047,Marketing Expense - Thing yourself project.
48,2026-03-08,SE002,3000,3425.4,NOK,DOC-2026-000048,Product Sales - Describe through trouble defense.
49,2026-01-22,SE001,7000,-791.86,NOK,DOC-2026-000049,Interest Expense - Social.
50,2026-01-27,EC_SE,3000,10043.42,NOK,DOC-2026-000050,Product Sales - Save white.
51,2026-07-24,SE002,5100,-5095.35,NOK,DOC-2026-000051,Rent Expense - Suffer enough language rise.
52,2025-08-06,NO002,7000,-7529.66,NOK,DOC-2025-000052,Interest Expense - Pick morning international might.
53,2025-12-24,EC_SE,4000,-4859.65,NOK,DOC-2025-000053,Cost of Goods Sold - Expert series section movement.
54,2026-05-02,NO001,4000,-6865.69,NOK,DOC-2026-000054,Cost of Goods Sold - Not expert.
55,2026-10-25,NO001,4000,-7251.69,NOK,DOC-2026-000055,Cost of Goods Sold - Past every.
56,2025-09-26,NO002,5100,-4020.01,NOK,DOC-2025-000056,Rent Expense - Movement day.
57,2026-09-21,EC_SE,7000,-8283.16,NOK,DOC-2026-000057,Interest Expense - Accept risk.
58,2026-04-15,SE001,5100,-4947.45,NOK,DOC-2026-000058,Rent Expense - Perform.
59,2026-12-09,SE002,5200,-8037.1,NOK,DOC-2026-000059,Marketing Expense - Them meet I.
60,2026-02-19,SE002,5100,-4647.42,NOK,DOC-2026-000060,Rent Expense - Culture respond window field.
61,2025-09-21,EC_SE,5100,-7796.32,NOK,DOC-2025-000061,Rent Expense - Yard theory tell.
62,2026-10-27,EC_NO,4000,-5875.82,NOK,DOC-2026-000062,Cost of Goods Sold - Then certain seem kind.
63,2026-11-13,NO003,5100,-3201.43,NOK,DOC-2026-000063,Rent Expense - Issue use majority.
64,2026-10-14,NO003,7000,-6628.62,NOK,DOC-2026-000064,Interest Expense - Poor.
65,2026-04-09,SE001,5100,-7962.72,NOK,DOC-2026-000065,Rent Expense - Southern five.
66,2026-01-04,EC_SE,5100,-1665.48,NOK,DOC-2026-000066,Rent Expense - Base base trouble.
67,2026-11-16,SE001,3000,9127.05,NOK,DOC-2026-000067,Product Sales - Avoid involve past.
68,2025-10-22,EC_NO,5000,-1584.85,NOK,DOC-2025-000068,Salaries & Wages - Career painting law.
69,2026-02-27,NO001,5100,-645.36,NOK,DOC-2026-000069,Rent Expense - Capital town expert.
70,2026-03-31,SE002,4000,-3012.52,NOK,DOC-2026-000070,Cost of Goods Sold - Attorney century glass.
71,2026-07-31,NO002,4000,-8732.15,NOK,DOC-2026-000071,Cost of Goods Sold - About manager.
72,2025-06-05,EC_SE,7000,-2591.15,NOK,DOC-2025-000072,Interest Expense - Certainly.
73,2025-05-13,EC_SE,5200,-3820.86,NOK,DOC-2025-000073,Marketing Expense - Market prove.
74,2025-04-25,SE001,5000,-7875.42,NOK,DOC-2025-000074,Salaries & Wages - Make set.
75,2025-05-16,SE002,4000,-8502.31,NOK,DOC-2025-000075,Cost of Goods Sold - Recently rule word.
76,2025-01-20,SE001,5100,-1179.3,NOK,DOC-2025-000076,Rent Expense - Building can both.
77,2026-05-02,NO002,5100,-641.69,NOK,DOC-2026-000077,Rent Expense - Strong clear.
78,2025-03-18,NO002,7000,-1955.6,NOK,DOC-2025-000078,Interest Expense - Deal day.
79,2026-09-10,SE002,5200,-3903.47,NOK,DOC-2026-000079,Marketing Expense - Mind heart.
80,2025-04-11,EC_SE,5000,-8263.77,NOK,DOC-2025-000080,Salaries & Wages - Television support whom.
81,2026-12-12,EC_SE,7000,-1595.03,NOK,DOC-2026-000081,Interest Expense - Agent morning.
82,2025-01-27,EC_SE,7000,-7624.59,NOK,DOC-2025-000082,Interest Expense - Reason behavior environmental.
83,2026-11-09,SE002,4000,-4520.18,NOK,DOC-2026-000083,Cost of Goods Sold - Generation oil management stock.
84,2025-03-07,NO002,5100,-7606.22,NOK,DOC-2025-000084,Rent Expense - See.
85,2025-12-27,NO002,4000,-3911.25,NOK,DOC-2025-000085,Cost of Goods Sold - Especially fund suffer.
86,2026-03-05,SE001,4000,-4377.25,NOK,DOC-2026-000086,Cost of Goods Sold - Purpose fall.
87,2026-08-22,NO003,4000,-7819.02,NOK,DOC-2026-000087,Cost of Goods Sold - Knowledge will.
88,2025-04-22,EC_SE,7000,-584.73,NOK,DOC-2025-000088,Interest Expense - Point sea stage.
89,2026-07-29,EC_NO,4000,-972.33,NOK,DOC-2026-000089,Cost of Goods Sold - Reduce line democratic particular.
90,2026-06-08,EC_SE,7000,-1819.44,NOK,DOC-2026-000090,Interest Expense - Front security.
91,2025-08-14,NO001,7000,-1518.25,NOK,DOC-2025-000091,Interest Expense - Actually business sense.
92,2026-09-23,SE002,5100,-5042.78,NOK,DOC-2026-000092,Rent Expense - Word east.
93,2026-05-17,EC_NO,5000,-8933.72,NOK,DOC-2026-000093,Salaries & Wages - Month argue state.
94,2026-08-19,NO002,4000,-2962.02,NOK,DOC-2026-000094,Cost of Goods Sold - Size best.
95,2026-07-17,NO002,5000,-2325.72,NOK,DOC-2026-000095,Salaries & Wages - Clear option.
96,2026-05-17,NO002,5100,-4439.42,NOK,DOC-2026-000096,Rent Expense - Bit main.
97,2026-08-06,NO003,3000,8411.0,NOK,DOC-2026-000097,Product Sales - Former why.
98,2025-06-02,EC_SE,3000,1044.87,NOK,DOC-2025-000098,Product Sales - Government shake four season.
99,2025-02-11,EC_SE,3000,8523.96,NOK,DOC-2025-000099,Product Sales - Small.
100,2025-02-18,SE002,5200,-4621.36,NOK,DOC-2025-000100,Marketing Expense - Later remember energy.
101,2026-05-03,EC_SE,5100,-3458.41,NOK,DOC-2026-000101,Rent Expense - Focus call.
102,2026-02-14,NO002,3000,6330.07,NOK,DOC-2026-000102,Product Sales - Down onto.
103,2025-01-19,EC_NO,3000,9834.78,NOK,DOC-2025-000103,Product Sales - Resource happy sing.
104,2026-03-15,SE001,4000,-5915.27,NOK,DOC-2026-000104,Cost of Goods Sold - By how.
105,2026-07-07,NO001,4000,-4852.17,NOK,DOC-2026-000105,Cost of Goods Sold - Those still.
106,2026-04-22,EC_NO,7000,-8067.92,NOK,DOC-2026-000106,Interest Expense - Board.
107,2026-07-20,NO003,5200,-7097.36,NOK,DOC-2026-000107,Marketing Expense - Almost second.
108,2026-12-14,NO001,4000,-5308.01,NOK,DOC-2026-000108,Cost of Goods Sold - Indeed accept.
109,2026-10-08,EC_SE,3000,9509.22,NOK,DOC-2026-000109,Product Sales - Yard range.
110,2025-05-26,SE002,7000,-8341.25,NOK,DOC-2025-000110,Interest Expense - Fund truth get.
111,2025-10-12,EC_SE,3000,6136.42,NOK,DOC-2025-000111,Product Sales - Fight general movie.
112,2025-09-22,NO002,5000,-4926.7,NOK,DOC-2025-000112,Salaries & Wages - Event why ball.
113,2025-04-06,SE002,7000,-3828.32,NOK,DOC-2025-000113,Interest Expense - Cost.
114,2025-12-29,NO002,5200,-1393.3,NOK,DOC-2025-000114,Marketing Expense - Public.
115,2026-11-04,EC_SE,3000,11861.23,NOK,DOC-2026-000115,Product Sales - Black this movement.
116,2025-04-05,EC_SE,7000,-6364.51,NOK,DOC-2025-000116,Interest Expense - Bar into.
117,2026-02-24,SE002,5200,-2073.62,NOK,DOC-2026-000117,Marketing Expense - Serve buy particular.
